"time","totalforcing"
1880-01-01,0.294964546516051
1880-02-01,0.296749815477626
1880-03-01,0.298535084439206
1880-04-01,0.300320353400782
1880-05-01,0.302105622362357
1880-06-01,0.303890891323937
1880-07-01,0.305676160285512
1880-08-01,0.307461429247088
1880-09-01,0.309246698208668
1880-10-01,0.311031967170243
1880-11-01,0.312817236131818
1880-12-01,0.314602505093399
1881-01-01,0.316387774054974
1881-02-01,0.320582049803858
1881-03-01,0.324776325552754
1881-04-01,0.328970601301638
1881-05-01,0.333164877050522
1881-06-01,0.337359152799418
1881-07-01,0.341553428548302
1881-08-01,0.345747704297186
1881-09-01,0.349941980046082
1881-10-01,0.354136255794966
1881-11-01,0.35833053154385
1881-12-01,0.362524807292746
1882-01-01,0.36671908304163
1882-02-01,0.307622106577605
1882-03-01,0.248525130113418
1882-04-01,0.189428153649393
1882-05-01,0.130331177185368
1882-06-01,0.0712342007211815
1882-07-01,0.0121372242571564
1882-08-01,-0.0469597522068687
1882-09-01,-0.106056728671055
1882-10-01,-0.16515370513508
1882-11-01,-0.224250681599105
1882-12-01,-0.283347658063292
1883-01-01,-0.342444634527317
1883-02-01,-0.461114132328924
1883-03-01,-0.579783630130855
1883-04-01,-0.698453127932463
1883-05-01,-0.81712262573407
1883-06-01,-0.935792123536001
1883-07-01,-1.05446162133761
1883-08-01,-1.17313111913922
1883-09-01,-1.29180061694115
1883-10-01,-1.41047011474275
1883-11-01,-1.52913961254436
1883-12-01,-1.64780911034629
1884-01-01,-1.7664786081479
1884-02-01,-1.6605815559521
1884-03-01,-1.55468450375601
1884-04-01,-1.44878745156021
1884-05-01,-1.34289039936441
1884-06-01,-1.23699334716832
1884-07-01,-1.13109629497252
1884-08-01,-1.02519924277672
1884-09-01,-0.919302190580633
1884-10-01,-0.813405138384832
1884-11-01,-0.707508086189032
1884-12-01,-0.601611033992943
1885-01-01,-0.495713981797143
1885-02-01,-0.44955505756951
1885-03-01,-0.403396133341752
1885-04-01,-0.357237209114119
1885-05-01,-0.311078284886487
1885-06-01,-0.264919360658728
1885-07-01,-0.218760436431096
1885-08-01,-0.172601512203463
1885-09-01,-0.126442587975705
1885-10-01,-0.0802836637480726
1885-11-01,-0.03412473952044
1885-12-01,0.0120341847073184
1886-01-01,0.0581931089349509
1886-02-01,0.0640259884407359
1886-03-01,0.0698588679465369
1886-04-01,0.0756917474523219
1886-05-01,0.0815246269581069
1886-06-01,0.0873575064639078
1886-07-01,0.0931903859696928
1886-08-01,0.0990232654754779
1886-09-01,0.104856144981279
1886-10-01,0.110689024487064
1886-11-01,0.116521903992849
1886-12-01,0.12235478349865
1887-01-01,0.128187663004435
1887-02-01,0.141032848887063
1887-03-01,0.153878034769726
1887-04-01,0.166723220652355
1887-05-01,0.179568406534983
1887-06-01,0.192413592417646
1887-07-01,0.205258778300274
1887-08-01,0.218103964182903
1887-09-01,0.230949150065566
1887-10-01,0.243794335948194
1887-11-01,0.256639521830823
1887-12-01,0.269484707713486
1888-01-01,0.282329893596114
1888-02-01,0.2879216956439
1888-03-01,0.2935134976917
1888-04-01,0.299105299739486
1888-05-01,0.304697101787271
1888-06-01,0.310288903835072
1888-07-01,0.315880705882857
1888-08-01,0.321472507930643
1888-09-01,0.327064309978443
1888-10-01,0.332656112026229
1888-11-01,0.338247914074014
1888-12-01,0.343839716121815
1889-01-01,0.349431518169601
1889-02-01,0.333835156397508
1889-03-01,0.318238794625373
1889-04-01,0.302642432853281
1889-05-01,0.287046071081188
1889-06-01,0.271449709309053
1889-07-01,0.255853347536961
1889-08-01,0.240256985764869
1889-09-01,0.224660623992734
1889-10-01,0.209064262220641
1889-11-01,0.193467900448549
